entry_date,exit_date,held,exit_reason,entry_spy,exit_spy,pnl_pct,policy
2022-02-01,2022-08-23,203,S7_RSI_REVERSE,427.287353515625,391.8815002441406,-42.16385709980249,S7_RSI_REVERSE
2022-03-24,2022-12-05,256,S7_RSI_REVERSE,426.2867736816406,381.3148498535156,-57.66983549489487,S7_RSI_REVERSE
2023-01-13,2023-08-02,201,S7_RSI_REVERSE,382.0209655761719,434.7717895507813,26.87821594890772,S7_RSI_REVERSE
2023-01-30,2023-08-02,184,S7_RSI_REVERSE,384.0245361328125,434.7717895507813,27.511227935168677,S7_RSI_REVERSE
2023-02-13,2023-09-18,217,S7_RSI_REVERSE,395.75836181640625,430.0050354003906,-2.3015084759308286,S7_RSI_REVERSE
2023-02-27,2023-09-18,203,S7_RSI_REVERSE,381.2828063964844,430.0050354003906,17.605661249375917,S7_RSI_REVERSE
2023-03-21,2023-09-18,181,S7_RSI_REVERSE,383.87347412109375,430.0050354003906,8.724747730643248,S7_RSI_REVERSE
2023-04-05,2024-01-04,274,S7_RSI_REVERSE,392.23590087890625,454.7650451660156,24.56336745488768,S7_RSI_REVERSE
2023-04-21,2024-01-04,258,S7_RSI_REVERSE,396.6625061035156,454.7650451660156,21.537899329188885,S7_RSI_REVERSE
2023-05-05,2024-01-04,244,S7_RSI_REVERSE,397.0763244628906,454.7650451660156,20.235112459467295,S7_RSI_REVERSE
2023-05-19,2024-01-04,230,S7_RSI_REVERSE,402.8405151367187,454.7650451660156,16.194087487887614,S7_RSI_REVERSE
2023-06-02,2024-01-04,216,S7_RSI_REVERSE,411.7899169921875,454.7650451660156,14.678565251408877,S7_RSI_REVERSE
2023-06-23,2024-01-04,195,S7_RSI_REVERSE,418.4291076660156,454.7650451660156,12.43984917057171,S7_RSI_REVERSE
2023-07-07,2024-01-04,181,S7_RSI_REVERSE,423.5868835449219,454.7650451660156,8.297912682356426,S7_RSI_REVERSE
2023-07-25,2024-04-04,254,S7_RSI_REVERSE,439.9006652832031,500.8800964355469,42.262515762065554,S7_RSI_REVERSE
2023-08-10,2024-04-04,238,S7_RSI_REVERSE,430.6957702636719,500.8800964355469,49.13861001393453,S7_RSI_REVERSE
2023-08-29,2024-04-04,219,S7_RSI_REVERSE,433.8349304199219,500.8800964355469,52.422290806147764,S7_RSI_REVERSE
2023-11-03,2024-05-30,209,S7_RSI_REVERSE,421.3395690917969,510.1935119628906,78.43084550820573,S7_RSI_REVERSE
2023-12-06,2024-09-05,274,S7_RSI_REVERSE,440.7931823730469,538.2828369140625,96.30352709024568,S7_RSI_REVERSE
2024-01-03,2024-09-05,246,S7_RSI_REVERSE,456.2345581054687,538.2828369140625,75.59421005091055,S7_RSI_REVERSE
