entry_date,exit_date,entry_spy,exit_spy,strike,contracts,cost,exit_value,pnl,pct,held_days,exit_reason,n_strategies,fired
2020-02-05,2020-09-03,304.19000244140625,318.8939208984375,350,3,6005.762752193583,14145.301167057336,8139.538414863753,1.3552880376253318,211,VIX>30,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2021-06-24,2022-01-20,398.3350830078125,421.43853759765625,460,1,3860.277141132527,4817.492131389961,957.2149902574342,0.2479653546264833,210,SPY broke 50DMA,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2021-08-12,2022-02-11,417.0852355957031,415.5048828125,480,1,4361.609551277604,4233.786231387907,-127.8233198896969,-0.029306456340699928,183,SPY broke 50DMA,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2023-04-28,2023-10-25,400.2518615722656,404.7259826660156,460,1,4172.798727188367,3142.797240096587,-1030.0014870917798,-0.24683708811083616,180,SPY broke 50DMA,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2023-06-01,2024-08-02,405.919921875,521.917236328125,465,1,3925.4892559009227,8158.0300484436,4232.540792542677,1.078219940655852,428,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2023-08-29,2024-08-02,433.8349304199219,521.917236328125,500,2,6785.6265810213345,13492.855990656539,6707.229409635204,0.9884465833110536,339,VIX +6/5d,3,"A_CHEAP_IV, E_A_OR_SQUEEZE, H_CURRENT"
2023-11-08,2024-08-02,423.8209838867187,521.917236328125,485,2,6950.506432159586,16242.52076898668,9292.014336827095,1.3368830642086005,268,VIX +6/5d,3,"A_CHEAP_IV, B_TREND_FOLLOW, F_VIX_CRUSH"
2024-01-19,2024-08-02,469.5092468261719,521.917236328125,540,2,6429.003174342982,11808.651983632632,5379.64880928965,0.8367780608289135,196,VIX +6/5d,6,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT, E_A_OR_SQUEEZE, G_BB_SQUEEZE"
2024-02-15,2024-09-06,488.56488037109375,529.2235717773438,560,2,7139.768643633956,10772.010898630057,3632.2422549961,0.5087338870895659,204,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2024-02-29,2024-09-06,494.4722900390625,529.2235717773438,570,2,6629.327045647322,10202.756261865119,3573.429216217797,0.5390334783021508,190,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
